Step 0
1 2.0 1.962728500366211 8.0 | 6.0 | 3.0
2 36.0 2.3701648712158203 144.0 | 4.0 | 17.22222222222222
3 36.0 2.370232582092285 144.0 | 4.0 | 17.22222222222222
4 49.0 2.512813091278076 196.0 | 4.0 | 23.510204081632654
5 84.0 2.892932415008545 336.0 | 4.0 | 41.095238095238095
6 87.0 2.9278266429901123 348.0 | 8.0 | 35.95402298850575
7 90.0 2.962435007095337 360.0 | 4.0 | 44.044444444444444
8 91.0 2.9761903285980225 364.0 | 4.0 | 44.57142857142857
9 96.0 1.093259334564209 384.0 | 4.0 | 47.041666666666664
10 64.0 0.7105410099029541 256.0 | 6.0 | 49.90625
11 96.0 1.0652234554290771 384.0 | 4.0 | 47.041666666666664
12 112.0 1.2440226078033447 448.0 | 8.0 | 51.857142857142854
13 96.0 1.0725269317626953 384.0 | 4.0 | 47.041666666666664
14 96.0 1.0735092163085938 384.0 | 4.0 | 47.041666666666664
15 96.0 1.073427677154541 384.0 | 4.0 | 47.041666666666664
16 96.0 1.073693037033081 384.0 | 4.0 | 47.041666666666664
17 96.0 1.0723187923431396 384.0 | 4.0 | 47.041666666666664
18 96.0 1.07151460647583 384.0 | 4.0 | 47.041666666666664
19 96.0 1.0547945499420166 384.0 | 4.0 | 47.041666666666664
20 96.0 1.052152395248413 384.0 | 4.0 | 47.041666666666664
21 96.0 1.0306975841522217 384.0 | 4.0 | 47.041666666666664
22 96.0 1.027674913406372 384.0 | 4.0 | 47.041666666666664
23 96.0 1.0271100997924805 384.0 | 4.0 | 47.041666666666664
24 96.0 1.0261213779449463 384.0 | 4.0 | 47.041666666666664
25 96.0 1.022958517074585 384.0 | 4.0 | 47.041666666666664
26 96.0 1.0226473808288574 384.0 | 4.0 | 47.041666666666664
27 96.0 1.0071325302124023 384.0 | 4.0 | 47.041666666666664
28 96.0 1.0070993900299072 384.0 | 4.0 | 47.041666666666664
29 64.0 0.6721272468566895 256.0 | 6.0 | 34.90625
30 96.0 1.0091705322265625 384.0 | 4.0 | 47.041666666666664
